country;pop;density;medianage;urbanpop;quarantine;schools;publicplace;hospibed;smokers;sex0;sex14;sex25;sex54;sex64;sex65plus;sexratio;lung;femalelung;malelung;gdp2019;healthexp;healthperpop;fertility;avgtemp;avghumidity
Afghanistan;38,928,346;60.0;18.0;25.0;;;;0.5;;1.05;1.03;1.03;1.03;0.97;0.85;1.03;37.62;36.31;39.33;18,734;184;4.726632876;5.12;6.216666667;56.93333333
Albania;2,877,797;105.0;36.0;63.0;;;;2.9;29.4;1.08;1.11;1.09;0.93;0.95;0.87;0.98;11.67;7.02;17.04;15,418;774;268.9557325;1.51;13.95;69.9
Algeria;43,851,044;18.0;29.0;73.0;;;;1.9;;1.05;1.05;1.05;1.03;1.01;0.89;1.03;8.77;5.03;12.81;172,781;1,031;23.51141286;2.7;19.56666667;61.71666667
Andorra;77,265;164.0;45.0;88.0;;;;2.5;32.5;1.07;1.05;1.08;1.05;1.15;1.02;1.06;;;;91,527;5,949;76994.7583;1.4;7.3833333329999995;75.23333333
Antigua and Barbuda;97,929;223.0;34.0;26.0;;;;3.8;;1.05;1.03;0.99;0.84;0.82;0.76;0.9;11.76;7.67;18.78;1,688;1,105;11283.68512;2.0;;
Argentina;45,195,774;17.0;32.0;93.0;3/20/2020;;;5.0;23.95;1.05;1.06;1.05;1.0;0.94;0.71;0.98;29.27;20.16;42.59;445,469;1,390;30.75508785;2.26;32.81666667;43.61666667
Armenia;2,963,243;104.0;35.0;63.0;;;;4.2;26.9;1.13;1.14;1.06;0.93;0.84;0.67;0.94;23.86;16.17;35.99;13,444;883;297.98433680000005;1.64;7.1;58.5
Australia;25,499,884;3.0;38.0;86.0;;;3/23/2020;3.8;14.9;1.06;1.06;1.09;0.99;0.93;0.86;0.99;18.79;15.9;22.16;1,376,255;4,492;176.15766409999998;1.77;25.78333333;64.23333333
Austria;9,006,398;109.0;43.0;57.0;3/16/2020;;;7.6;35.15;1.05;1.05;1.04;1.0;0.98;0.76;0.96;17.02;13.02;22.14;447,718;5,138;570.4833386;1.47;9.466666667;65.35
Azerbaijan;10,139,177;123.0;32.0;56.0;;;;4.7;23.45;1.11;1.15;1.09;0.96;0.86;0.62;0.98;20.61;14.07;29.32;47,171;1,191;117.46515520000001;1.89;10.16666667;68.08333333
Bahamas;393,244;39.0;32.0;86.0;;;;2.9;;1.03;1.03;1.03;1.0;0.81;0.62;0.96;6.29;3.35;10.43;12160;1,699;4320.472785;1.94;23.26666667;76.55
Bahrain;1,701,575;2239.0;32.0;89.0;;;;6.8;13.6;1.03;1.03;1.3;1.88;1.81;0.95;;18.37;13.83;22.39;38,184;2,453;1441.605571;1.75;20.36666667;63.51666667
Bangladesh;164,689,383;1265.0;28.0;39.0;;;;0.8;20.25;1.04;1.04;1.0;0.93;0.98;0.97;0.97;69.07;61.7;76.24;317,465;88;0.534339242;2.17;30.28333333;42.35
Barbados;287,375;668.0;40.0;31.0;;;;5.8;7.0;1.01;1.0;0.99;0.99;0.88;0.66;0.94;9.65;6.15;14.54;5,189;1,234;4294.040887;1.68;26.9;74.95
Belarus;9,449,323;47.0;40.0;79.0;;;;11.0;28.4;1.06;1.06;1.06;0.97;0.79;0.46;0.87;9.46;2.83;21.51;62,572;1,085;114.8230408;1.48;3.983333333;81.48333333
Belgium;11,589,623;383.0;42.0;98.0;3/18/2020;;;6.2;23.25;1.05;1.05;1.04;1.02;0.98;0.76;0.97;27.11;21.2;34.98;517,609;4,782;412.6104878;1.78;9.533333333;78.41666667
Belize;397,628;17.0;24.0;46.0;;;;1.3;13.3;1.05;1.04;1.04;1.03;0.97;0.89;1.03;43.36;24.41;60.89;348,400;524;1317.814641;2.3;;
Benin;12,123,200;108.0;19.0;48.0;;;;0.5;9.35;1.05;1.04;1.04;1.02;0.76;0.66;1.01;29.33;25.16;34.86;14,374;84;6.928863666;4.77;35.13333333;69.0
Bhutan;771,608;20.0;28.0;46.0;;;;1.7;28.2;1.05;1.04;1.04;1.14;1.16;1.1;1.09;71.93;72.27;71.82;2,842;287;371.95052410000005;1.9;8.866666667;73.68333333
Bolivia;11,673,021;11.0;26.0;69.0;;;;1.1;23.8;1.05;1.04;1.03;0.95;0.86;0.79;0.98;18.42;14.59;22.79;42,401;446;38.207761299999994;2.63;20.3;70.7
Bosnia and Herzegovina;3,280,819;64.0;43.0;52.0;;;;3.5;38.6;1.07;1.07;1.07;1.01;0.92;0.64;0.95;18.48;12.88;26.05;20,106;1,102;335.8917392;1.3;7.966666667;81.71666667
Brazil;212,559,417;25.0;33.0;88.0;;;;2.2;15.3;1.05;1.04;1.03;0.98;0.89;0.74;0.97;26.57;19.71;35.83;1,847,020;1,392;6.548757141;1.75;25.81666667;81.68333333
Brunei;437,479;83.0;32.0;80.0;;;;2.7;16.2;1.05;1.06;0.99;0.92;1.04;0.95;0.98;33.05;27.66;41.12;12,455;2,083;4761.371403;1.78;29.18333333;81.75
Bulgaria;6,948,445;64.0;45.0;76.0;;;;6.8;35.3;1.06;1.06;1.09;1.06;0.88;0.69;0.95;19.79;13.98;27.92;66,250;1,492;214.7243016;1.46;9.3;73.53333333
Burkina Faso;20,903,273;76.0;18.0;31.0;;;;0.4;20.25;1.03;1.0;1.01;1.03;0.77;0.6;0.99;19.38;16.7;23.65;14,593;96;4.592582224;5.71;37.75;10.98333333
Cabo Verde;554,441;138.0;27.6;68.0;;;;2.1;17.6;1.03;1.01;1.0;0.94;0.75;0.61;0.94;18.77;14.18;26.01;175,900;310;559.12171;2.29;;
Cambodia;16,718,965;95.0;26.0;24.0;;;;0.8;23.45;1.05;1.02;0.98;0.96;0.65;0.6;0.94;34.21;30.47;39.66;26,730;210;12.56058614;2.52;35.45;55.51666667
Cameroon;26,545,863;56.0;19.0;56.0;;;;1.3;22.35;1.03;1.02;1.01;1.01;0.95;0.87;1.01;24.85;19.94;30.6;38,632;163;6.140316478;4.64;35.11666667;65.41666667
Canada;37,742,154;4.0;41.0;81.0;;3/15/2020;3/20/2020;2.7;14.95;1.06;1.05;1.06;1.03;0.98;0.8;0.98;19.01;16.95;21.55;1,730,914;4,600;121.8796362;1.6;-1.8666666669999998;88.58333333
