country;tests;date
Argentina;4,843;2020-03-31
Armenia;3,603;2020-04-02
Australia;277,355;2020-04-03
Austria;98,343;2020-04-03
Azerbaijan;30,000;2020-04-03
Bahrain;37,996;2020-04-03
Bangladesh;1602;2020-04-01
Barbados;382;2020-04-01
Belarus;32,000;2020-04-03
Belgium;18,360;2020-03-18
Bolivia;591;2020-03-19
Bosnia and Herzegovina;4,051;2020-04-02
Brazil;54,824;2020-04-02
Canada;280,550;2020-04-02
Chile;35,142;2020-03-31
Colombia;21,129;2020-04-02
Costa Rica;3,845;2020-03-31
Croatia;8,352;2020-04-02
Czechia;67,281;2020-04-02
Denmark;39,583;2020-04-03
Ecuador;9,604;2020-04-02
Egypt;25,000;2020-03-25
Estonia;15,725;2020-04-02
Finland;25,400;2020-04-02
France;224,254;2020-04-02
Germany;918,460;2020-03-29
Greece;15,961;2020-03-30
Grenada;18;2020-03-19
Hungary;17,769;2020-04-03
Iceland;20,930;2020-04-02
India;47,951;2020-04-01
Indonesia;7,193;2020-04-02
Iran;80,000;2020-03-22
Ireland;30,213;2020-03-30
Israel;90,394;2020-04-02
Italy;581,232;2020-04-02
Jamaica;442;2020-04-01
Japan;39,446;2020-04-03
Kazakhstan;5,093;2020-03-13
Kosovo;1267;2020-03-31
Kyrgyzstan;8,186;2020-03-31
Latvia;16,834;2020-04-02
Lithuania;18,432;2020-04-03
Malaysia;47,723;2020-04-03
Malta;4,462;2020-03-27
Mexico;9,481;2020-03-28
Montenegro;1177;2020-04-02
Nepal;1185;2020-04-02
Netherlands;46,810;2020-03-26
New Zealand;29,485;2020-04-03
North Macedonia;4,506;2020-04-03
Norway;94,265;2020-04-01
Pakistan;30,308;2020-04-03
Panama;7,333;2020-04-01
Peru;12,669;2020-03-27
Philippines;16,368;2020-04-03
Poland;66,938;2020-04-03
Portugal;52,086;2020-03-31
Romania;31657;2020-04-03
Russia;575,000;2020-04-03
Serbia;5,008;2020-04-02
Singapore;39,000;2020-03-25
Slovakia;9,097;2020-03-31
Slovenia;24,857;2020-04-01
South Africa;44,292;2020-04-01
Korea, South;443,273;2020-04-03
Spain;355,000;2020-03-21
Sweden;36,900;2020-03-31
Switzerland;139,330;2020-04-02
Taiwan*;34,557;2020-04-03
Thailand;17,829;2020-03-30
Trinidad and Tobago;595;2020-04-01
Turkey;125,556;2020-04-02
Ukraine;4,404;2020-04-03
United Arab Emirates;220,000;2020-04-03
United Kingdom;163,194;2020-04-02
US;1,350,219;2020-04-02
Uruguay;1,538;2020-03-24
Venezuela;1,779;2020-03-31
Vietnam;73,164;2020-04-03
