date;Italy;US;Spain;Germany;Korea, South
2020-01-22;0;1;0;0;1
2020-01-23;0;1;0;0;1
2020-01-24;0;2;0;0;2
2020-01-25;0;2;0;0;2
2020-01-26;0;5;0;0;3
2020-01-27;0;5;0;1;4
2020-01-28;0;5;0;4;4
2020-01-29;0;5;0;4;4
2020-01-30;0;5;0;4;4
2020-01-31;2;7;0;5;11
2020-02-01;2;8;1;8;12
2020-02-02;2;8;1;10;15
2020-02-03;2;11;1;12;15
2020-02-04;2;11;1;12;16
2020-02-05;2;11;1;12;19
2020-02-06;2;11;1;12;23
2020-02-07;3;11;1;13;24
2020-02-08;3;11;1;13;24
2020-02-09;3;11;2;14;25
2020-02-10;3;11;2;14;27
2020-02-11;3;12;2;16;28
2020-02-12;3;12;2;16;28
2020-02-13;3;13;2;16;28
2020-02-14;3;13;2;16;28
2020-02-15;3;13;2;16;28
2020-02-16;3;13;2;16;29
2020-02-17;3;13;2;16;30
2020-02-18;3;13;2;16;31
2020-02-19;3;13;2;16;31
2020-02-20;3;13;2;16;104
2020-02-21;20;15;2;16;204
2020-02-22;62;15;2;16;433
2020-02-23;155;15;2;16;602
2020-02-24;229;51;2;16;833
2020-02-25;322;51;6;17;977
2020-02-26;453;57;13;27;1261
2020-02-27;655;58;15;46;1766
2020-02-28;888;60;32;48;2337
2020-02-29;1128;68;45;79;3150
2020-03-01;1694;74;84;130;3736
2020-03-02;2036;98;120;159;4335
2020-03-03;2502;118;165;196;5186
2020-03-04;3089;149;222;262;5621
2020-03-05;3858;217;259;482;6088
2020-03-06;4636;262;400;670;6593
2020-03-07;5883;402;500;799;7041
2020-03-08;7375;518;673;1040;7314
2020-03-09;9172;583;1073;1176;7478
2020-03-10;10149;959;1695;1457;7513
2020-03-11;12462;1281;2277;1908;7755
2020-03-12;12462;1663;2277;2078;7869
2020-03-13;17660;2179;5232;3675;7979
2020-03-14;21157;2727;6391;4585;8086
2020-03-15;24747;3499;7798;5795;8162
2020-03-16;27980;4632;9942;7272;8236
2020-03-17;31506;6421;11748;9257;8320
2020-03-18;35713;7783;13910;12327;8413
2020-03-19;41035;13747;17963;15320;8565
2020-03-20;47021;19273;20410;19848;8652
2020-03-21;53578;25600;25374;22213;8799
2020-03-22;59138;33276;28768;24873;8961
2020-03-23;63927;43843;35136;29056;8961
2020-03-24;69176;53736;39885;32986;9037
2020-03-25;74386;65778;49515;37323;9137
2020-03-26;80589;83836;57786;43938;9241
2020-03-27;86498;101657;65719;50871;9332
2020-03-28;92472;121465;73235;57695;9478
2020-03-29;97689;140909;80110;62095;9583
2020-03-30;101739;161831;87956;66885;9661
2020-03-31;105792;188172;95923;71808;9786
2020-04-01;110574;213242;104118;77872;9887
2020-04-02;115242;243622;112065;84794;9976
2020-04-03;119827;275367;119199;91159;10062
2020-04-04;124632;308650;126168;96092;10156
2020-04-05;128948;336802;131646;100123;10237
2020-04-06;132547;366317;136675;103374;10284
2020-04-07;135586;397121;141942;107663;10331
2020-04-08;139422;428654;148220;113296;10384
2020-04-09;143626;462780;153222;118181;10423
2020-04-10;147577;496535;158273;122171;10450
2020-04-11;152271;526396;163027;124908;10480
2020-04-12;156363;555313;166831;127854;10512
2020-04-13;159516;580619;170099;130072;10537
2020-04-14;162488;607670;172541;131359;10564
2020-04-15;165155;636350;177644;134753;10591
2020-04-16;168941;667592;184948;137698;10613
2020-04-17;172434;699706;190839;141397;10635
2020-04-18;175925;732197;191726;143342;10653
2020-04-19;178972;758809;198674;145184;10661
2020-04-20;181228;784326;200210;147065;10674
2020-04-21;183957;811865;204178;148291;10683
2020-04-22;187327;840351;208389;150648;10694
2020-04-23;189973;869170;213024;153129;10708
2020-04-24;192994;905358;219764;154999;10718
