doubling every two days;doubling every 4 days;doubling every 10 days;Italy;US;Spain;Germany;Korea, South;date
100.0;100.0;100.0;155.0;118.0;120.0;130.0;104.0;0
141.4213562373095;118.9207115002721;107.17734625362931;229.0;149.0;165.0;159.0;204.0;1
200.0;141.4213562373095;114.86983549970351;322.0;217.0;222.0;196.0;433.0;2
282.842712474619;168.1792830507429;123.11444133449163;453.0;262.0;259.0;262.0;602.0;3
400.0;200.0;131.9507910772894;655.0;402.0;400.0;482.0;833.0;4
565.685424949238;237.8414230005442;141.4213562373095;888.0;518.0;500.0;670.0;977.0;5
800.0;282.842712474619;151.5716566510398;1128.0;583.0;673.0;799.0;1261.0;6
1131.370849898476;336.3585661014858;162.4504792712471;1694.0;959.0;1073.0;1040.0;1766.0;7
1600.0;400.0;174.11011265922482;2036.0;1281.0;1695.0;1176.0;2337.0;8
2262.741699796952;475.6828460010884;186.60659830736148;2502.0;1663.0;2277.0;1457.0;3150.0;9
3200.0;565.685424949238;200.0;3089.0;2179.0;2277.0;1908.0;3736.0;10
4525.483399593904;672.7171322029716;214.35469250725862;3858.0;2727.0;5232.0;2078.0;4335.0;11
6400.0;800.0;229.73967099940697;4636.0;3499.0;6391.0;3675.0;5186.0;12
9050.966799187809;951.3656920021768;246.22888266898326;5883.0;4632.0;7798.0;4585.0;5621.0;13
12800.0;1131.370849898476;263.9015821545788;7375.0;6421.0;9942.0;5795.0;6088.0;14
18101.933598375617;1345.4342644059432;282.842712474619;9172.0;7783.0;11748.0;7272.0;6593.0;15
25600.0;1600.0;303.14331330207966;10149.0;13677.0;13910.0;9257.0;7041.0;16
36203.867196751235;1902.7313840043537;324.9009585424942;12462.0;19100.0;17963.0;12327.0;7314.0;17
51200.0;2262.741699796952;348.22022531844965;12462.0;25489.0;20410.0;15320.0;7478.0;18
72407.73439350247;2690.8685288118863;373.21319661472296;17660.0;33276.0;25374.0;19848.0;7513.0;19
;;;21157.0;43847.0;28768.0;22213.0;7755.0;20
;;;24747.0;53740.0;35136.0;24873.0;7869.0;21
;;;27980.0;65778.0;39885.0;29056.0;7979.0;22
;;;31506.0;83836.0;49515.0;32986.0;8086.0;23
;;;35713.0;101657.0;57786.0;37323.0;8162.0;24
;;;41035.0;121478.0;65719.0;43938.0;8236.0;25
;;;47021.0;140886.0;73235.0;50871.0;8320.0;26
;;;53578.0;161807.0;80110.0;57695.0;8413.0;27
;;;59138.0;;87956.0;62095.0;8565.0;28
;;;63927.0;;;66885.0;8652.0;29
;;;69176.0;;;;8799.0;30
;;;74386.0;;;;8961.0;31
;;;80589.0;;;;8961.0;32
;;;86498.0;;;;9037.0;33
;;;92472.0;;;;9137.0;34
;;;97689.0;;;;9241.0;35
;;;101739.0;;;;9332.0;36
;;;;;;;9478.0;37
;;;;;;;9583.0;38
;;;;;;;9661.0;39
